"FIN","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"06.10.2018 22:00 - 06.10.2018 23:00","8855","9214"
"06.10.2018 23:00 - 07.10.2018 00:00","8546","8825"
"07.10.2018 00:00 - 07.10.2018 01:00","8256","8510"
"07.10.2018 01:00 - 07.10.2018 02:00","8088","8368"
"07.10.2018 02:00 - 07.10.2018 03:00","8017","8344"
"07.10.2018 03:00 - 07.10.2018 04:00","8052","8380"
"07.10.2018 04:00 - 07.10.2018 05:00","8128","8491"
"07.10.2018 05:00 - 07.10.2018 06:00","8251","8689"
"07.10.2018 06:00 - 07.10.2018 07:00","8209","8744"
"07.10.2018 07:00 - 07.10.2018 08:00","8242","8852"
"07.10.2018 08:00 - 07.10.2018 09:00","8478","9067"
"07.10.2018 09:00 - 07.10.2018 10:00","8616","9167"
"07.10.2018 10:00 - 07.10.2018 11:00","8724","9213"
"07.10.2018 11:00 - 07.10.2018 12:00","8633","9122"
"07.10.2018 12:00 - 07.10.2018 13:00","8580","9035"
"07.10.2018 13:00 - 07.10.2018 14:00","8487","8920"
"07.10.2018 14:00 - 07.10.2018 15:00","8493","8823"
"07.10.2018 15:00 - 07.10.2018 16:00","8557","8863"
"07.10.2018 16:00 - 07.10.2018 17:00","8682","9040"
"07.10.2018 17:00 - 07.10.2018 18:00","8942","9372"
"07.10.2018 18:00 - 07.10.2018 19:00","9330","9987"
"07.10.2018 19:00 - 07.10.2018 20:00","9299","9858"
"07.10.2018 20:00 - 07.10.2018 21:00","8933","9426"
"07.10.2018 21:00 - 07.10.2018 22:00","8979","9487"
"07.10.2018 22:00 - 07.10.2018 23:00","8877","9475"
"07.10.2018 23:00 - 08.10.2018 00:00","8626","9151"
"08.10.2018 00:00 - 08.10.2018 01:00","8358","8899"
"08.10.2018 01:00 - 08.10.2018 02:00","8222","8747"
"08.10.2018 02:00 - 08.10.2018 03:00","8153","8687"
"08.10.2018 03:00 - 08.10.2018 04:00","8212","8799"
"08.10.2018 04:00 - 08.10.2018 05:00","8509","9148"
"08.10.2018 05:00 - 08.10.2018 06:00","9309","10153"
"08.10.2018 06:00 - 08.10.2018 07:00","9704","10598"
"08.10.2018 07:00 - 08.10.2018 08:00","9761","10629"
"08.10.2018 08:00 - 08.10.2018 09:00","9777","10654"
"08.10.2018 09:00 - 08.10.2018 10:00","9774","10570"
"08.10.2018 10:00 - 08.10.2018 11:00","9779","10541"
"08.10.2018 11:00 - 08.10.2018 12:00","9748","10467"
"08.10.2018 12:00 - 08.10.2018 13:00","9650","10398"
"08.10.2018 13:00 - 08.10.2018 14:00","9572","10289"
"08.10.2018 14:00 - 08.10.2018 15:00","9459","10250"
"08.10.2018 15:00 - 08.10.2018 16:00","9446","10201"
"08.10.2018 16:00 - 08.10.2018 17:00","9589","10269"
"08.10.2018 17:00 - 08.10.2018 18:00","9706","10439"
"08.10.2018 18:00 - 08.10.2018 19:00","9991","10648"
"08.10.2018 19:00 - 08.10.2018 20:00","9891","10383"
"08.10.2018 20:00 - 08.10.2018 21:00","9428","9762"
"08.10.2018 21:00 - 08.10.2018 22:00","9296","9640"
"08.10.2018 22:00 - 08.10.2018 23:00","9048","9373"
"08.10.2018 23:00 - 09.10.2018 00:00","8725","8802"
"09.10.2018 00:00 - 09.10.2018 01:00","8397","8453"
"09.10.2018 01:00 - 09.10.2018 02:00","8212","8246"
"09.10.2018 02:00 - 09.10.2018 03:00","8171","8168"
"09.10.2018 03:00 - 09.10.2018 04:00","8240","8212"
"09.10.2018 04:00 - 09.10.2018 05:00","8555","8549"
"09.10.2018 05:00 - 09.10.2018 06:00","9382","9323"
"09.10.2018 06:00 - 09.10.2018 07:00","9779","9738"
"09.10.2018 07:00 - 09.10.2018 08:00","9825","9730"
"09.10.2018 08:00 - 09.10.2018 09:00","9865","9780"
"09.10.2018 09:00 - 09.10.2018 10:00","9834","9791"
"09.10.2018 10:00 - 09.10.2018 11:00","9837","9769"
"09.10.2018 11:00 - 09.10.2018 12:00","9813","9751"
"09.10.2018 12:00 - 09.10.2018 13:00","9717","9700"
"09.10.2018 13:00 - 09.10.2018 14:00","9616","9675"
"09.10.2018 14:00 - 09.10.2018 15:00","9567","9680"
"09.10.2018 15:00 - 09.10.2018 16:00","9504","9663"
"09.10.2018 16:00 - 09.10.2018 17:00","9563","9755"
"09.10.2018 17:00 - 09.10.2018 18:00","9701","9939"
"09.10.2018 18:00 - 09.10.2018 19:00","9999","10154"
"09.10.2018 19:00 - 09.10.2018 20:00","9882","9923"
"09.10.2018 20:00 - 09.10.2018 21:00","9393","9330"
"09.10.2018 21:00 - 09.10.2018 22:00","9247","9233"
"09.10.2018 22:00 - 09.10.2018 23:00","9001","9018"
"09.10.2018 23:00 - 10.10.2018 00:00","8170","8482"
"10.10.2018 00:00 - 10.10.2018 01:00","7823","8142"
"10.10.2018 01:00 - 10.10.2018 02:00","7641","7887"
"10.10.2018 02:00 - 10.10.2018 03:00","7632","7811"
"10.10.2018 03:00 - 10.10.2018 04:00","7728","7920"
"10.10.2018 04:00 - 10.10.2018 05:00","8083","8258"
"10.10.2018 05:00 - 10.10.2018 06:00","8983","9041"
"10.10.2018 06:00 - 10.10.2018 07:00","9433","9516"
"10.10.2018 07:00 - 10.10.2018 08:00","9483","9540"
"10.10.2018 08:00 - 10.10.2018 09:00","9541","9601"
"10.10.2018 09:00 - 10.10.2018 10:00","9524","9600"
"10.10.2018 10:00 - 10.10.2018 11:00","9564","9619"
"10.10.2018 11:00 - 10.10.2018 12:00","9562","9579"
"10.10.2018 12:00 - 10.10.2018 13:00","9485","9383"
"10.10.2018 13:00 - 10.10.2018 14:00","9368","9315"
"10.10.2018 14:00 - 10.10.2018 15:00","9327","9324"
"10.10.2018 15:00 - 10.10.2018 16:00","9271","9314"
"10.10.2018 16:00 - 10.10.2018 17:00","9356","9389"
"10.10.2018 17:00 - 10.10.2018 18:00","9540","9590"
"10.10.2018 18:00 - 10.10.2018 19:00","9875","10173"
"10.10.2018 19:00 - 10.10.2018 20:00","9787","10044"
"10.10.2018 20:00 - 10.10.2018 21:00","9304","9580"
"10.10.2018 21:00 - 10.10.2018 22:00","9226","9433"
"10.10.2018 22:00 - 10.10.2018 23:00","8998","9181"
"10.10.2018 23:00 - 11.10.2018 00:00","8488","8680"
"11.10.2018 00:00 - 11.10.2018 01:00","8182","8404"
"11.10.2018 01:00 - 11.10.2018 02:00","7988","8195"
"11.10.2018 02:00 - 11.10.2018 03:00","7960","8194"
"11.10.2018 03:00 - 11.10.2018 04:00","8033","8343"
"11.10.2018 04:00 - 11.10.2018 05:00","8358","8750"
"11.10.2018 05:00 - 11.10.2018 06:00","9226","9545"
"11.10.2018 06:00 - 11.10.2018 07:00","9667","10052"
"11.10.2018 07:00 - 11.10.2018 08:00","9698","10103"
"11.10.2018 08:00 - 11.10.2018 09:00","9740","10099"
"11.10.2018 09:00 - 11.10.2018 10:00","9628","10048"
"11.10.2018 10:00 - 11.10.2018 11:00","9589","10017"
"11.10.2018 11:00 - 11.10.2018 12:00","9540","9943"
"11.10.2018 12:00 - 11.10.2018 13:00","9452","9845"
"11.10.2018 13:00 - 11.10.2018 14:00","9337","9833"
"11.10.2018 14:00 - 11.10.2018 15:00","9318","9813"
"11.10.2018 15:00 - 11.10.2018 16:00","9281","9821"
"11.10.2018 16:00 - 11.10.2018 17:00","9363","9962"
"11.10.2018 17:00 - 11.10.2018 18:00","9528","10116"
"11.10.2018 18:00 - 11.10.2018 19:00","9834","10438"
"11.10.2018 19:00 - 11.10.2018 20:00","9716","10183"
"11.10.2018 20:00 - 11.10.2018 21:00","9219","9648"
"11.10.2018 21:00 - 11.10.2018 22:00","9131","9529"
"11.10.2018 22:00 - 11.10.2018 23:00","8909","9241"
"11.10.2018 23:00 - 12.10.2018 00:00","8455","8732"
"12.10.2018 00:00 - 12.10.2018 01:00","8113","8410"
"12.10.2018 01:00 - 12.10.2018 02:00","7899","8240"
"12.10.2018 02:00 - 12.10.2018 03:00","7852","8235"
"12.10.2018 03:00 - 12.10.2018 04:00","7922","8338"
"12.10.2018 04:00 - 12.10.2018 05:00","8236","8661"
"12.10.2018 05:00 - 12.10.2018 06:00","9073","9443"
"12.10.2018 06:00 - 12.10.2018 07:00","9569","9996"
"12.10.2018 07:00 - 12.10.2018 08:00","9672","9939"
"12.10.2018 08:00 - 12.10.2018 09:00","9800","10089"
"12.10.2018 09:00 - 12.10.2018 10:00","9767","10060"
"12.10.2018 10:00 - 12.10.2018 11:00","9694","10091"
"12.10.2018 11:00 - 12.10.2018 12:00","9631","10044"
"12.10.2018 12:00 - 12.10.2018 13:00","9529","10007"
"12.10.2018 13:00 - 12.10.2018 14:00","9388","9887"
"12.10.2018 14:00 - 12.10.2018 15:00","9310","9844"
"12.10.2018 15:00 - 12.10.2018 16:00","9243","9777"
"12.10.2018 16:00 - 12.10.2018 17:00","9303","9791"
"12.10.2018 17:00 - 12.10.2018 18:00","9565","10039"
"12.10.2018 18:00 - 12.10.2018 19:00","9875","10287"
"12.10.2018 19:00 - 12.10.2018 20:00","9684","10020"
"12.10.2018 20:00 - 12.10.2018 21:00","9209","9506"
"12.10.2018 21:00 - 12.10.2018 22:00","9126","9432"
"12.10.2018 22:00 - 12.10.2018 23:00","8863","9110"
"12.10.2018 23:00 - 13.10.2018 00:00","8441","8691"
"13.10.2018 00:00 - 13.10.2018 01:00","8084","8374"
"13.10.2018 01:00 - 13.10.2018 02:00","7875","8225"
"13.10.2018 02:00 - 13.10.2018 03:00","7821","8148"
"13.10.2018 03:00 - 13.10.2018 04:00","7809","8182"
"13.10.2018 04:00 - 13.10.2018 05:00","7901","8327"
"13.10.2018 05:00 - 13.10.2018 06:00","8157","8583"
"13.10.2018 06:00 - 13.10.2018 07:00","8226","8693"
"13.10.2018 07:00 - 13.10.2018 08:00","8307","8730"
"13.10.2018 08:00 - 13.10.2018 09:00","8486","8885"
"13.10.2018 09:00 - 13.10.2018 10:00","8586","8970"
"13.10.2018 10:00 - 13.10.2018 11:00","8595","9067"
"13.10.2018 11:00 - 13.10.2018 12:00","8536","9048"
"13.10.2018 12:00 - 13.10.2018 13:00","8499","9006"
"13.10.2018 13:00 - 13.10.2018 14:00","8440","8957"
"13.10.2018 14:00 - 13.10.2018 15:00","8470","9067"
"13.10.2018 15:00 - 13.10.2018 16:00","8571","9117"
"13.10.2018 16:00 - 13.10.2018 17:00","8764","9253"
"13.10.2018 17:00 - 13.10.2018 18:00","9146","9730"
"13.10.2018 18:00 - 13.10.2018 19:00","9415","9975"
"13.10.2018 19:00 - 13.10.2018 20:00","9137","9684"
"13.10.2018 20:00 - 13.10.2018 21:00","8669","9112"
"13.10.2018 21:00 - 13.10.2018 22:00","8651","9118"
"13.10.2018 22:00 - 13.10.2018 23:00","8531","8915"
"13.10.2018 23:00 - 14.10.2018 00:00","8353","8489"
"14.10.2018 00:00 - 14.10.2018 01:00","8000","8145"
"14.10.2018 01:00 - 14.10.2018 02:00","7795","7978"
"14.10.2018 02:00 - 14.10.2018 03:00","7632","7909"
"14.10.2018 03:00 - 14.10.2018 04:00","7742","7903"
"14.10.2018 04:00 - 14.10.2018 05:00","7806","7998"
"14.10.2018 05:00 - 14.10.2018 06:00","7952","8189"
"14.10.2018 06:00 - 14.10.2018 07:00","7962","8275"
"14.10.2018 07:00 - 14.10.2018 08:00","7984","8250"
"14.10.2018 08:00 - 14.10.2018 09:00","8178","8398"
"14.10.2018 09:00 - 14.10.2018 10:00","8337","8521"
"14.10.2018 10:00 - 14.10.2018 11:00","8409","8555"
"14.10.2018 11:00 - 14.10.2018 12:00","8377","8503"
"14.10.2018 12:00 - 14.10.2018 13:00","8317","8333"
"14.10.2018 13:00 - 14.10.2018 14:00","8239","8283"
"14.10.2018 14:00 - 14.10.2018 15:00","8233","8308"
"14.10.2018 15:00 - 14.10.2018 16:00","8296","8406"
"14.10.2018 16:00 - 14.10.2018 17:00","8480","8568"
"14.10.2018 17:00 - 14.10.2018 18:00","8787","8975"
"14.10.2018 18:00 - 14.10.2018 19:00","9095","9362"
"14.10.2018 19:00 - 14.10.2018 20:00","8932","9119"
"14.10.2018 20:00 - 14.10.2018 21:00","8511","8744"
"14.10.2018 21:00 - 14.10.2018 22:00","8572","8823"
"14.10.2018 22:00 - 14.10.2018 23:00","8481","8684"
"14.10.2018 23:00 - 15.10.2018 00:00","8107","8257"
"15.10.2018 00:00 - 15.10.2018 01:00","7856","7917"
"15.10.2018 01:00 - 15.10.2018 02:00","7694","7806"
"15.10.2018 02:00 - 15.10.2018 03:00","7644","7763"
"15.10.2018 03:00 - 15.10.2018 04:00","7705","7921"
"15.10.2018 04:00 - 15.10.2018 05:00","8012","8263"
"15.10.2018 05:00 - 15.10.2018 06:00","8847","9053"
"15.10.2018 06:00 - 15.10.2018 07:00","9338","9685"
"15.10.2018 07:00 - 15.10.2018 08:00","9397","9806"
"15.10.2018 08:00 - 15.10.2018 09:00","9455","9973"
"15.10.2018 09:00 - 15.10.2018 10:00","9425","9929"
"15.10.2018 10:00 - 15.10.2018 11:00","9432","9822"
"15.10.2018 11:00 - 15.10.2018 12:00","9433","9773"
"15.10.2018 12:00 - 15.10.2018 13:00","9373","9675"
"15.10.2018 13:00 - 15.10.2018 14:00","9301","9614"
"15.10.2018 14:00 - 15.10.2018 15:00","9295","9676"
"15.10.2018 15:00 - 15.10.2018 16:00","9289","9673"
"15.10.2018 16:00 - 15.10.2018 17:00","9387","9718"
"15.10.2018 17:00 - 15.10.2018 18:00","9597","10007"
"15.10.2018 18:00 - 15.10.2018 19:00","9840","10264"
"15.10.2018 19:00 - 15.10.2018 20:00","9721","10088"
"15.10.2018 20:00 - 15.10.2018 21:00","9285","9592"
"15.10.2018 21:00 - 15.10.2018 22:00","9190","9548"
"15.10.2018 22:00 - 15.10.2018 23:00","8992","9225"
"15.10.2018 23:00 - 16.10.2018 00:00","8544","8686"
"16.10.2018 00:00 - 16.10.2018 01:00","8235","8472"
"16.10.2018 01:00 - 16.10.2018 02:00","8069","8310"
"16.10.2018 02:00 - 16.10.2018 03:00","8033","8345"
"16.10.2018 03:00 - 16.10.2018 04:00","8116","8396"
"16.10.2018 04:00 - 16.10.2018 05:00","8442","8613"
"16.10.2018 05:00 - 16.10.2018 06:00","9242","9387"
"16.10.2018 06:00 - 16.10.2018 07:00","9689","9986"
"16.10.2018 07:00 - 16.10.2018 08:00","9693","9971"
"16.10.2018 08:00 - 16.10.2018 09:00","9713","10000"
"16.10.2018 09:00 - 16.10.2018 10:00","9680","10002"
"16.10.2018 10:00 - 16.10.2018 11:00","9663","10029"
"16.10.2018 11:00 - 16.10.2018 12:00","9646","10049"
"16.10.2018 12:00 - 16.10.2018 13:00","9577","9957"
"16.10.2018 13:00 - 16.10.2018 14:00","9489","9852"
"16.10.2018 14:00 - 16.10.2018 15:00","9494","9838"
"16.10.2018 15:00 - 16.10.2018 16:00","9480","9810"
"16.10.2018 16:00 - 16.10.2018 17:00","9578","9933"
"16.10.2018 17:00 - 16.10.2018 18:00","9765","10281"
"16.10.2018 18:00 - 16.10.2018 19:00","10016","10538"
"16.10.2018 19:00 - 16.10.2018 20:00","9901","10329"
"16.10.2018 20:00 - 16.10.2018 21:00","9459","9751"
"16.10.2018 21:00 - 16.10.2018 22:00","9397","9716"
"16.10.2018 22:00 - 16.10.2018 23:00","9192","9513"
"16.10.2018 23:00 - 17.10.2018 00:00","8692","8952"
"17.10.2018 00:00 - 17.10.2018 01:00","8399","8738"
"17.10.2018 01:00 - 17.10.2018 02:00","8238","8598"
"17.10.2018 02:00 - 17.10.2018 03:00","8225","8523"
"17.10.2018 03:00 - 17.10.2018 04:00","8308","8616"
"17.10.2018 04:00 - 17.10.2018 05:00","8638","8844"
"17.10.2018 05:00 - 17.10.2018 06:00","9455","9576"
"17.10.2018 06:00 - 17.10.2018 07:00","9904","10125"
"17.10.2018 07:00 - 17.10.2018 08:00","9906","10168"
"17.10.2018 08:00 - 17.10.2018 09:00","9926","10238"
"17.10.2018 09:00 - 17.10.2018 10:00","9876","10317"
"17.10.2018 10:00 - 17.10.2018 11:00","9834","10341"
"17.10.2018 11:00 - 17.10.2018 12:00","9812","10298"
"17.10.2018 12:00 - 17.10.2018 13:00","9723","10192"
"17.10.2018 13:00 - 17.10.2018 14:00","9621","10127"
"17.10.2018 14:00 - 17.10.2018 15:00","9565","10134"
"17.10.2018 15:00 - 17.10.2018 16:00","9547","9994"
"17.10.2018 16:00 - 17.10.2018 17:00","9641","10026"
"17.10.2018 17:00 - 17.10.2018 18:00","9834","10447"
"17.10.2018 18:00 - 17.10.2018 19:00","10057","10647"
"17.10.2018 19:00 - 17.10.2018 20:00","9899","10346"
"17.10.2018 20:00 - 17.10.2018 21:00","9417","9719"
"17.10.2018 21:00 - 17.10.2018 22:00","9342","9674"
"17.10.2018 22:00 - 17.10.2018 23:00","9117","9394"
"17.10.2018 23:00 - 18.10.2018 00:00","8596","8851"
"18.10.2018 00:00 - 18.10.2018 01:00","8273","8558"
"18.10.2018 01:00 - 18.10.2018 02:00","8093","8381"
"18.10.2018 02:00 - 18.10.2018 03:00","8059","8383"
"18.10.2018 03:00 - 18.10.2018 04:00","8143","8420"
"18.10.2018 04:00 - 18.10.2018 05:00","8464","8675"
"18.10.2018 05:00 - 18.10.2018 06:00","9273","9455"
"18.10.2018 06:00 - 18.10.2018 07:00","9703","10101"
"18.10.2018 07:00 - 18.10.2018 08:00","9709","10112"
"18.10.2018 08:00 - 18.10.2018 09:00","9726","10115"
"18.10.2018 09:00 - 18.10.2018 10:00","9696","10074"
"18.10.2018 10:00 - 18.10.2018 11:00","9689","10145"
"18.10.2018 11:00 - 18.10.2018 12:00","9683","10137"
"18.10.2018 12:00 - 18.10.2018 13:00","9626","10124"
"18.10.2018 13:00 - 18.10.2018 14:00","9559","10037"
"18.10.2018 14:00 - 18.10.2018 15:00","9549","9938"
"18.10.2018 15:00 - 18.10.2018 16:00","9553","9930"
"18.10.2018 16:00 - 18.10.2018 17:00","9662","9941"
"18.10.2018 17:00 - 18.10.2018 18:00","9861","10195"
"18.10.2018 18:00 - 18.10.2018 19:00","10063","10476"
"18.10.2018 19:00 - 18.10.2018 20:00","9912","10293"
"18.10.2018 20:00 - 18.10.2018 21:00","9450","9795"
"18.10.2018 21:00 - 18.10.2018 22:00","9409","9786"
"18.10.2018 22:00 - 18.10.2018 23:00","9200","9548"
"18.10.2018 23:00 - 19.10.2018 00:00","8742","9065"
"19.10.2018 00:00 - 19.10.2018 01:00","8435","8719"
"19.10.2018 01:00 - 19.10.2018 02:00","8270","8650"
"19.10.2018 02:00 - 19.10.2018 03:00","8251","8603"
"19.10.2018 03:00 - 19.10.2018 04:00","8321","8782"
"19.10.2018 04:00 - 19.10.2018 05:00","8629","9093"
"19.10.2018 05:00 - 19.10.2018 06:00","9406","9910"
"19.10.2018 06:00 - 19.10.2018 07:00","9849","10455"
"19.10.2018 07:00 - 19.10.2018 08:00","9870","10513"
"19.10.2018 08:00 - 19.10.2018 09:00","10002","10585"
"19.10.2018 09:00 - 19.10.2018 10:00","10014","10545"
"19.10.2018 10:00 - 19.10.2018 11:00","9981","10473"
"19.10.2018 11:00 - 19.10.2018 12:00","9937","10393"
"19.10.2018 12:00 - 19.10.2018 13:00","9804","10213"
"19.10.2018 13:00 - 19.10.2018 14:00","9694","10158"
"19.10.2018 14:00 - 19.10.2018 15:00","9648","10103"
"19.10.2018 15:00 - 19.10.2018 16:00","9635","10183"
"19.10.2018 16:00 - 19.10.2018 17:00","9738","10147"
"19.10.2018 17:00 - 19.10.2018 18:00","10018","10505"
"19.10.2018 18:00 - 19.10.2018 19:00","10170","10684"
"19.10.2018 19:00 - 19.10.2018 20:00","9946","10478"
"19.10.2018 20:00 - 19.10.2018 21:00","9507","10001"
"19.10.2018 21:00 - 19.10.2018 22:00","9493","10044"
"19.10.2018 22:00 - 19.10.2018 23:00","9270","9742"
"19.10.2018 23:00 - 20.10.2018 00:00","8988","9292"
"20.10.2018 00:00 - 20.10.2018 01:00","8635","9069"
"20.10.2018 01:00 - 20.10.2018 02:00","8449","8855"
"20.10.2018 02:00 - 20.10.2018 03:00","8373","8799"
"20.10.2018 03:00 - 20.10.2018 04:00","8386","8868"
"20.10.2018 04:00 - 20.10.2018 05:00","8536","8991"
"20.10.2018 05:00 - 20.10.2018 06:00","8810","9310"
"20.10.2018 06:00 - 20.10.2018 07:00","8926","9502"
"20.10.2018 07:00 - 20.10.2018 08:00","8974","9508"
"20.10.2018 08:00 - 20.10.2018 09:00","9106","9744"
"20.10.2018 09:00 - 20.10.2018 10:00","9141","9795"
"20.10.2018 10:00 - 20.10.2018 11:00","9143","9816"
"20.10.2018 11:00 - 20.10.2018 12:00","9083","9762"
"20.10.2018 12:00 - 20.10.2018 13:00","9003","9663"
"20.10.2018 13:00 - 20.10.2018 14:00","8969","9594"
"20.10.2018 14:00 - 20.10.2018 15:00","9060","9656"
"20.10.2018 15:00 - 20.10.2018 16:00","9170","9787"
"20.10.2018 16:00 - 20.10.2018 17:00","9363","10076"
"20.10.2018 17:00 - 20.10.2018 18:00","9785","10557"
"20.10.2018 18:00 - 20.10.2018 19:00","9907","10584"
"20.10.2018 19:00 - 20.10.2018 20:00","9597","10173"
"20.10.2018 20:00 - 20.10.2018 21:00","9140","9749"
"20.10.2018 21:00 - 20.10.2018 22:00","9157","9752"
"20.10.2018 22:00 - 20.10.2018 23:00","9036","9616"
"20.10.2018 23:00 - 21.10.2018 00:00","8931","9229"
"21.10.2018 00:00 - 21.10.2018 01:00","8600","8887"
"21.10.2018 01:00 - 21.10.2018 02:00","8375","8643"
"21.10.2018 02:00 - 21.10.2018 03:00","8074","8598"
"21.10.2018 03:00 - 21.10.2018 04:00","8320","8589"
"21.10.2018 04:00 - 21.10.2018 05:00","8372","8679"
"21.10.2018 05:00 - 21.10.2018 06:00","8506","8829"
"21.10.2018 06:00 - 21.10.2018 07:00","8530","8889"
"21.10.2018 07:00 - 21.10.2018 08:00","8528","8925"
"21.10.2018 08:00 - 21.10.2018 09:00","8669","9070"
"21.10.2018 09:00 - 21.10.2018 10:00","8845","9211"
"21.10.2018 10:00 - 21.10.2018 11:00","8908","9293"
"21.10.2018 11:00 - 21.10.2018 12:00","8787","9338"
"21.10.2018 12:00 - 21.10.2018 13:00","8750","9303"
"21.10.2018 13:00 - 21.10.2018 14:00","8679","9227"
"21.10.2018 14:00 - 21.10.2018 15:00","8709","9228"
"21.10.2018 15:00 - 21.10.2018 16:00","8831","9259"
"21.10.2018 16:00 - 21.10.2018 17:00","9026","9467"
"21.10.2018 17:00 - 21.10.2018 18:00","9371","9993"
"21.10.2018 18:00 - 21.10.2018 19:00","9526","10025"
"21.10.2018 19:00 - 21.10.2018 20:00","9324","9670"
"21.10.2018 20:00 - 21.10.2018 21:00","8939","9325"
"21.10.2018 21:00 - 21.10.2018 22:00","9085","9470"
"21.10.2018 22:00 - 21.10.2018 23:00","8983","9405"
"21.10.2018 23:00 - 22.10.2018 00:00","8719","8936"
"22.10.2018 00:00 - 22.10.2018 01:00","8431","8623"
"22.10.2018 01:00 - 22.10.2018 02:00","8295","8460"
"22.10.2018 02:00 - 22.10.2018 03:00","8252","8414"
"22.10.2018 03:00 - 22.10.2018 04:00","8331","8466"
"22.10.2018 04:00 - 22.10.2018 05:00","8599","8808"
"22.10.2018 05:00 - 22.10.2018 06:00","9326","9556"
"22.10.2018 06:00 - 22.10.2018 07:00","9803","10102"
"22.10.2018 07:00 - 22.10.2018 08:00","9883","10266"
"22.10.2018 08:00 - 22.10.2018 09:00","9959","10282"
"22.10.2018 09:00 - 22.10.2018 10:00","9978","10383"
"22.10.2018 10:00 - 22.10.2018 11:00","9974","10375"
"22.10.2018 11:00 - 22.10.2018 12:00","9937","10271"
"22.10.2018 12:00 - 22.10.2018 13:00","9874","10093"
"22.10.2018 13:00 - 22.10.2018 14:00","9791","9970"
"22.10.2018 14:00 - 22.10.2018 15:00","9793","9937"
"22.10.2018 15:00 - 22.10.2018 16:00","9809","9993"
"22.10.2018 16:00 - 22.10.2018 17:00","9933","9940"
"22.10.2018 17:00 - 22.10.2018 18:00","10118","10293"
"22.10.2018 18:00 - 22.10.2018 19:00","10275","10522"
"22.10.2018 19:00 - 22.10.2018 20:00","10130","10369"
"22.10.2018 20:00 - 22.10.2018 21:00","9724","9912"
"22.10.2018 21:00 - 22.10.2018 22:00","9712","9816"
"22.10.2018 22:00 - 22.10.2018 23:00","9535","9607"
"22.10.2018 23:00 - 23.10.2018 00:00","8999","9110"
"23.10.2018 00:00 - 23.10.2018 01:00","8721","8817"
"23.10.2018 01:00 - 23.10.2018 02:00","8587","8676"
"23.10.2018 02:00 - 23.10.2018 03:00","8576","8704"
"23.10.2018 03:00 - 23.10.2018 04:00","8662","8830"
"23.10.2018 04:00 - 23.10.2018 05:00","8968","9184"
"23.10.2018 05:00 - 23.10.2018 06:00","9722","10012"
"23.10.2018 06:00 - 23.10.2018 07:00","10144","10586"
"23.10.2018 07:00 - 23.10.2018 08:00","10136","10601"
"23.10.2018 08:00 - 23.10.2018 09:00","10185","10627"
"23.10.2018 09:00 - 23.10.2018 10:00","10155","10582"
"23.10.2018 10:00 - 23.10.2018 11:00","10140","10525"
"23.10.2018 11:00 - 23.10.2018 12:00","10098","10464"
"23.10.2018 12:00 - 23.10.2018 13:00","10025","10341"
"23.10.2018 13:00 - 23.10.2018 14:00","9975","10272"
"23.10.2018 14:00 - 23.10.2018 15:00","9967","10279"
"23.10.2018 15:00 - 23.10.2018 16:00","10008","10322"
"23.10.2018 16:00 - 23.10.2018 17:00","10106","10546"
"23.10.2018 17:00 - 23.10.2018 18:00","10254","10942"
"23.10.2018 18:00 - 23.10.2018 19:00","10404","11026"
"23.10.2018 19:00 - 23.10.2018 20:00","10295","10797"
"23.10.2018 20:00 - 23.10.2018 21:00","9870","10238"
"23.10.2018 21:00 - 23.10.2018 22:00","9858","10131"
"23.10.2018 22:00 - 23.10.2018 23:00","9675","9921"
"23.10.2018 23:00 - 24.10.2018 00:00","9201","9473"
"24.10.2018 00:00 - 24.10.2018 01:00","8893","9202"
"24.10.2018 01:00 - 24.10.2018 02:00","8727","8959"
"24.10.2018 02:00 - 24.10.2018 03:00","8708","8850"
"24.10.2018 03:00 - 24.10.2018 04:00","8788","8945"
"24.10.2018 04:00 - 24.10.2018 05:00","9086","9292"
"24.10.2018 05:00 - 24.10.2018 06:00","9852","10117"
"24.10.2018 06:00 - 24.10.2018 07:00","10266","10661"
"24.10.2018 07:00 - 24.10.2018 08:00","10250","10731"
"24.10.2018 08:00 - 24.10.2018 09:00","10271","10676"
"24.10.2018 09:00 - 24.10.2018 10:00","10254","10668"
"24.10.2018 10:00 - 24.10.2018 11:00","10249","10704"
"24.10.2018 11:00 - 24.10.2018 12:00","10266","10586"
"24.10.2018 12:00 - 24.10.2018 13:00","10145","10471"
"24.10.2018 13:00 - 24.10.2018 14:00","10044","10406"
"24.10.2018 14:00 - 24.10.2018 15:00","10012","10351"
"24.10.2018 15:00 - 24.10.2018 16:00","10059","10348"
"24.10.2018 16:00 - 24.10.2018 17:00","10182","10486"
"24.10.2018 17:00 - 24.10.2018 18:00","10343","10863"
"24.10.2018 18:00 - 24.10.2018 19:00","10470","11057"
"24.10.2018 19:00 - 24.10.2018 20:00","10298","10819"
"24.10.2018 20:00 - 24.10.2018 21:00","9844","10284"
"24.10.2018 21:00 - 24.10.2018 22:00","9819","10221"
"24.10.2018 22:00 - 24.10.2018 23:00","9625","9984"
"24.10.2018 23:00 - 25.10.2018 00:00","9315","9533"
"25.10.2018 00:00 - 25.10.2018 01:00","8981","9297"
